Date,Close_Stock(BRL)
2020-07-20,856.2424867469999
2020-07-21,865.5587961015
2020-07-22,847.8784458045
2020-07-23,835.920146412
2020-07-24,819.2249019602999
2020-07-27,849.1449582874
2020-07-28,833.503073748
2020-07-29,842.2445879300001
2020-07-30,812.9098403532
2020-07-31,818.2386078837
2020-08-03,843.1614190879001
2020-08-04,846.1018757682001
2020-08-05,849.5104
2020-08-06,849.2937073994999
2020-08-07,868.3830543284
2020-08-10,864.5740868142
2020-08-11,881.7038485866
2020-08-12,871.6300126250001
2020-08-13,878.5552319639999
2020-08-14,857.3810596984999
2020-08-17,870.4759816663999
2020-08-18,884.8710577737
2020-08-19,893.3051778876002
2020-08-20,898.1600739540002
2020-08-21,895.2343597769
2020-08-24,918.2804797524
2020-08-25,921.0795329295
2020-08-26,927.0657094165
2020-08-27,931.3447506354
2020-08-28,919.6347430995
2020-08-31,885.0296111202001
2020-09-01,908.3831374479
2020-09-02,910.25535
2020-09-03,868.4117242680001
2020-09-04,831.6903202599001
2020-09-07,857.9845818963
2020-09-08,835.4144765212
2020-09-09,867.201145224
2020-09-10,852.0157030555999
2020-09-11,852.1188500000001
2020-09-14,853.8788714022
2020-09-15,845.4864657501
2020-09-16,849.0566477143
2020-09-17,837.4187607171999
2020-09-18,840.76395
2020-09-21,835.387
2020-09-22,843.5745000000001
2020-09-23,845.2356
2020-09-24,859.9965616197
2020-09-25,835.1100089813
2020-09-28,870.7654498656
2020-09-29,886.5293064319999
2020-09-30,877.490462952
2020-10-01,879.1934188695
2020-10-02,879.4685868775001
2020-10-05,880.9763200766
2020-10-06,863.4950559795
2020-10-07,855.5927068115
2020-10-08,873.4307396004001
2020-10-09,876.0803328318001
2020-10-12,878.5361586885001
2020-10-13,875.5826370606001
2020-10-14,877.9692937548001
2020-10-15,856.9697148724
2020-10-16,872.2539817352001
2020-10-19,866.0672000000001
2020-10-20,841.1645685953
2020-10-21,827.8698107456
2020-10-22,827.178
2020-10-23,824.8021432074
2020-10-26,649.45725
2020-10-27,643.5831650851
2020-10-28,619.6867545636001
2020-10-29,629.2625374948
2020-10-30,617.0268445116
2020-11-02,602.934462
2020-11-03,627.6893249566999
2020-11-04,654.62985
2020-11-05,652.3500973576
2020-11-06,634.4492750000001
2020-11-09,630.0826143664
2020-11-10,630.6384615428
2020-11-11,649.2305328147
2020-11-12,636.4671256531
2020-11-13,651.7353424388
2020-11-16,647.8589335395
2020-11-17,632.4542105811
2020-11-18,631.69
2020-11-19,631.4959432964
2020-11-20,621.7286588784
2020-11-23,626.5153376252
2020-11-24,627.0118671184
2020-11-25,630.486256
2020-11-26,631.1433303406001
2020-11-27,636.1193156477
2020-11-30,651.5910311682
2020-12-01,643.8806703612
2020-12-02,636.265318843
2020-12-03,637.385312634
2020-12-04,642.8272257456001
2020-12-07,635.3532982461
2020-12-08,630.1704763466
2020-12-09,632.589772394
2020-12-10,631.494734
2020-12-11,608.365275
2020-12-14,612.830718
2020-12-15,625.7262000000001
2020-12-16,634.5638585184
2020-12-17,650.643
2020-12-18,646.2973263978
2020-12-21,634.1655777496
2020-12-22,649.1067847929
2020-12-23,652.0174765678
2020-12-28,667.0536846744001
2020-12-29,684.374419224
2020-12-30,684.0850503802
